m,p_m,primorial_le_X,primorial,N_allowed,group_size,density,F,F_over_group,F_over_parseval_bound
1,2,True,2,2,2,1.0,0,0.0,0.0
2,3,True,6,4,4,1.0,0,0.0,0.0
3,5,True,30,8,8,1.0,0,0.0,0.0
4,7,True,210,16,16,1.0,0,0.0,0.0
5,11,True,2310,32,32,1.0,0,0.0,0.0
6,13,True,30030,64,64,1.0,0,0.0,0.0
7,17,True,510510,128,128,1.0,0,0.0,0.0
8,19,False,9699690,250,256,0.9765625,2,0.0078125,0.007905694150420948
9,23,False,223092870,455,512,0.888671875,5,0.009765625,0.010359274127059311
10,29,False,6469693230,761,1024,0.7431640625,-1,-0.0009765625,0.0011328116149912715
11,31,False,200560490130,1181,2048,0.57666015625,-23,-0.01123046875,0.014788969424488036
12,37,False,7420738134810,1715,4096,0.418701171875,-53,-0.012939453125,0.019996953348487223
13,41,False,304250263527210,2364,8192,0.28857421875,-94,-0.011474609375,0.021360388419271917
14,43,False,13082761331670030,3130,16384,0.1910400390625,-130,-0.0079345703125,0.01815353529343967
15,47,False,614889782588491410,4001,32768,0.122100830078125,-159,-0.004852294921875,0.01388634276962989
16,53,False,32589158477190044730,4951,65536,0.0755462646484375,-177,-0.0027008056640625,0.009826228021355072
17,59,False,1922760350154212639070,5968,131072,0.0455322265625,-168,-0.00128173828125,0.0060067549002744
18,61,False,117288381359406970983270,7074,262144,0.02698516845703125,-146,-0.00055694580078125,0.0033903955322570826
19,67,False,7858321551080267055879090,8230,524288,0.015697479248046875,-102,-0.000194549560546875,0.0015527991882564756
20,71,False,557940830126698960967415390,9444,1048576,0.009006500244140625,-34,-3.24249267578125e-05,0.0003416653768685108
