observable,x,dyadic_local_exponent,target_or_branch_candidate
W,32768,1.4019629904,1.3994333287263303
W,65536,1.4007725150,1.3994333287263303
W,131072,1.3999880346,1.3994333287263303
W,262144,1.3996038330,1.3994333287263303
W,524288,1.3994607118,1.3994333287263303
T,16384,1.8046217574,1.9884768518009081
T,32768,1.8200295860,1.9884768518009081
T,65536,1.8327468862,1.9884768518009081
T,131072,1.8433526852,1.9884768518009081
T,262144,1.8523722507,1.9884768518009081
T,524288,1.8602070256,1.9884768518009081
