X,max_omega,K,M,min_feasible_M,max_feasible_M,interval_width,max_deviation_from_actual
1024,4,0,-4,-624,624,1248,628
1024,4,1,-4,-624,624,1248,628
1024,4,2,-4,-624,624,1248,628
1024,4,3,-4,-20,12,32,16
1024,4,4,-4,-4,-4,0,0
2048,4,0,7,-1245,1245,2490,1252
2048,4,1,7,-1245,1245,2490,1252
2048,4,2,7,-1245,1245,2490,1252
2048,4,3,7,-43,57,100,50
2048,4,4,7,7,7,0,0
4096,5,0,-19,-2491,2491,4982,2510
4096,5,1,-19,-2491,2491,4982,2510
4096,5,2,-19,-2491,2491,4982,2510
4096,5,3,-19,-875,741,1616,856
4096,5,4,-19,-31,-7,24,12
4096,5,5,-19,-19,-19,0,0
8192,5,0,22,-4982,4982,9964,5004
8192,5,1,22,-4982,4982,9964,5004
8192,5,2,22,-4982,4982,9964,5004
8192,5,3,22,-2070,2202,4272,2180
8192,5,4,22,-26,70,96,48
8192,5,5,22,22,22,0,0
16384,5,0,-32,-9962,9962,19924,9994
16384,5,1,-32,-9962,9962,19924,9994
16384,5,2,-32,-9962,9962,19924,9994
16384,5,3,-32,-4990,4158,9148,4958
16384,5,4,-32,-146,82,228,114
16384,5,5,-32,-32,-32,0,0
32768,6,0,26,-19920,19920,39840,19946
32768,6,1,26,-19920,19920,39840,19946
32768,6,2,26,-19920,19920,39840,19946
32768,6,3,26,-10652,9852,20504,10678
32768,6,4,26,-1140,4172,5312,4146
32768,6,5,26,24,28,4,2
32768,6,6,26,26,26,0,0
65536,6,0,14,-39844,39844,79688,39858
65536,6,1,14,-39844,39844,79688,39858
65536,6,2,14,-39844,39844,79688,39858
65536,6,3,14,-22886,21342,44228,22900
65536,6,4,14,-3086,9462,12548,9448
65536,6,5,14,0,28,28,14
65536,6,6,14,14,14,0,0
131072,6,0,-20,-79688,79688,159376,79708
131072,6,1,-20,-79688,79688,159376,79708
131072,6,2,-20,-79688,79688,159376,79708
131072,6,3,-20,-49064,45304,94368,49044
131072,6,4,-20,-8248,19552,27800,19572
131072,6,5,-20,-92,52,144,72
131072,6,6,-20,-20,-20,0,0
262144,6,0,24,-159360,159360,318720,159384
262144,6,1,24,-159360,159360,318720,159384
262144,6,2,24,-159360,159360,318720,159384
262144,6,3,24,-103824,94344,198168,103848
262144,6,4,24,-21192,40464,61656,40440
262144,6,5,24,-250,298,548,274
262144,6,6,24,24,24,0,0
524288,7,0,-125,-318725,318725,637450,318850
524288,7,1,-125,-318725,318725,637450,318850
524288,7,2,-125,-318725,318725,637450,318850
524288,7,3,-125,-215869,194181,410050,215744
524288,7,4,-125,-50917,74805,125722,74680
524288,7,5,-125,-2253,1659,3912,2128
524288,7,6,-125,-129,-121,8,4
524288,7,7,-125,-125,-125,0,0
1048576,7,0,257,-637461,637461,1274922,637718
1048576,7,1,257,-637461,637461,1274922,637718
1048576,7,2,257,-637461,637461,1274922,637718
1048576,7,3,257,-447855,408653,856508,448112
1048576,7,4,257,-115583,156193,271776,155936
1048576,7,5,257,-6935,9255,16190,8998
1048576,7,6,257,221,293,72,36
1048576,7,7,257,257,257,0,0
2097152,7,0,-362,-1274918,1274918,2549836,1275280
2097152,7,1,-362,-1274918,1274918,2549836,1275280
2097152,7,2,-362,-1274918,1274918,2549836,1275280
2097152,7,3,-362,-929452,840532,1769984,929090
2097152,7,4,-362,-254232,330304,584536,330666
2097152,7,5,-362,-20154,29274,49428,29636
2097152,7,6,-362,-570,-154,416,208
2097152,7,7,-362,-362,-362,0,0
4194304,7,0,228,-2549834,2549834,5099668,2550062
4194304,7,1,228,-2549834,2549834,5099668,2550062
4194304,7,2,228,-2549834,2549834,5099668,2550062
4194304,7,3,228,-1920530,1720810,3641340,1920758
4194304,7,4,228,-554132,711540,1265672,711312
4194304,7,5,228,-54932,77804,132736,77576
4194304,7,6,228,-624,1080,1704,852
4194304,7,7,228,228,228,0,0
8388608,7,0,-10,-5099650,5099650,10199300,5099660
8388608,7,1,-10,-5099650,5099650,10199300,5099660
8388608,7,2,-10,-5099650,5099650,10199300,5099660
8388608,7,3,-10,-3941706,3503494,7445200,3941696
8388608,7,4,-10,-1184270,1507110,2691380,1507120
8388608,7,5,-10,-138330,192802,331132,192812
8388608,7,6,-10,-1118,3082,4200,3092
8388608,7,7,-10,-10,-10,0,0
16777216,8,0,211,-10199301,10199301,20398602,10199512
16777216,8,1,211,-10199301,10199301,20398602,10199512
16777216,8,2,211,-10199301,10199301,20398602,10199512
16777216,8,3,211,-10199301,10199301,20398602,10199512
16777216,8,4,211,-2366861,10193075,12559936,10192864
16777216,8,5,211,-1042184.42857,9372881.47619,10415065.9048,9372670.47619
16777216,8,6,211,-685,324819,325504,324608
16777216,8,7,211,-45,80211,80256,80000
16777216,8,8,211,211,211,0,0
