k,X,piX,thetaX,u_final,m_theta_le_2logX,p_m,prime_indices_to_strip
10,1024,172,983.9377664960487,0.007044624204520042,7,17,165
11,2048,309,1985.5071808228065,0.003840136696458438,7,17,302
12,4096,564,4027.4069060559805,0.002065290734395867,8,19,556
13,8192,1028,8064.138822092634,0.0011174055340655666,8,19,1020
14,16384,1900,16255.088010322836,0.000596986034260574,9,23,1891
15,32768,3512,32514.83065059815,0.00031976816426100346,9,23,3503
16,65536,6542,65174.26202721102,0.00017016464082598697,9,23,6533
17,131072,12251,130674.07656117687,9.017474911332135e-05,10,29,12241
18,262144,23000,261450.2027307989,4.772093928313204e-05,10,29,22990
19,524288,43390,523665.31380202173,2.5149262484125438e-05,11,31,43379
20,1048576,82025,1047294.9981647154,1.3236904249034315e-05,11,31,82014
21,2097152,155611,2095635.3953453973,6.945908064012134e-06,11,31,155600
22,4194304,295947,4192227.1510576536,3.637502793347345e-06,12,37,295935
23,8388608,564163,8385254.704776674,1.9012404171571721e-06,12,37,564151
24,16777216,1077871,16772181.418416958,9.918526349334486e-07,12,37,1077859
