zero_terms_removed,residual_RMS,residual_lag1_corr,residual_sign_changes_of_65,corr_original_vs_zero_wave,R2_zero_wave
0,0.166375692,-0.675193604,50,0.000000000,0.000000000
1,0.115625380,-0.397381910,41,0.720575425,0.516691450
2,0.100952669,-0.380788182,39,0.796349999,0.631571052
5,0.075824570,-0.304094872,37,0.891193698,0.792155734
10,0.062372563,-0.466108961,41,0.927575503,0.859361150
20,0.049814256,-0.484809040,43,0.954558689,0.910293186
30,0.045255523,-0.417676144,43,0.963048055,0.925960869
40,0.037660779,-0.358478013,43,0.974475270,0.948726056
50,0.035580812,-0.390350022,39,0.977245992,0.954233274
75,0.030455344,-0.315476843,37,0.983301456,0.966469105
100,0.028081072,-0.235417589,43,0.985931226,0.971493394
